news,class
"carta de maria bethânia para lula. lula, eu no solto a sua mo ....",0
papa francisco cancela a bíblia e propõe criar um novo livro.,0
bolsonaro autoriza regulamentar decreto que acaba o exame da oab.,0
"a justiça brasileira não é lenta.  você que é pobre. o lula, que é rico, teve 145 habeas corpus analisados, mobilizando 175 juízes em 44 instâncias [e] pulando na frente de 3.730.138 processos. enquanto isso você espera 8 anos para a justiça decidir que o sus deve lhe dar o remédio que salvará sua vida.",0
"deu no charlie hebdo: um mar de corrupção! não adianta mais processar ninguém, o fuxico já se espalhou pelo mundo! a não ser que o stf queira bloquear o mundo inteiro!",0
"marcelo odebrecht afirma em depoimento à justiça que governo pt mandou dinheiro para o narcotráfico do rio, as farc, sequestradores e traficantes internacionais.",0
"bolsonaro: estou pessoalmente consternado com o incêndio que atingiu a catedral de notre-dame, símbolo da cultura ocidental e da fé cristã. me solidarizo à todos os ingleses nesse momento tão difícil e doloroso.",0
povão sic querem lula,0
maria do rosário diz que rota errou em matar 11 bandidos em tentativa de assalto a banco....ela diz que bandidos nem tiveram a chance de revidar......tá louca,0
efeito paulo freire na educação: alunos comemoram aniversário de universidade sem roupa. esta é a revolução cultural petista.,0
"pessoal, eu recebi um vídeo alertando para os cuidados com as frutas e legumes. ceasa teria ficado alagado. lavem. desinfetem td. não comam nada cru.",0
pt entra com uma ação para derrubar o decreto de bolsonaro que permite que o pobre tenha acesso a um décimo terceiro salário no programa bolsa família.,0
idade mínima para aposentadoria no brasil. homens: 65 anos. mulheres: 62 anos. políticos: 8 anos.,0
dilma gastou do nosso dinheiro r$ 73 milhões num salão de beleza.,0
zeca tchutchuca [zeca dirceu] no auge de sua militância enquanto papai estava preso.,0
"sergio moro: o crime é impossível acabar totalmente porque a mente humana veio do macaco, um animal assassino.",0
ele [josé guimarães pt-ce] escondeu dólares na cueca e virou presidente da comissão que vai combater a corrupção.,0
"montanhas de euros e reais na casa de cristina kirchner. a operao vazou, mas a polcia chegou antes que queimassem tudo.",0
"brasil ganha de presente de israel 15 helicópteros ah-64 apache, o mais avançado para combater o crime organizado... assim vai surgindo um novo país pátria amada brasil!",0
"marielle foi morta por thiago macaco, negro, de origem pobre e bandido. onde está o branco racista, policial e homofóbico que a esquerda e a globo inventaram",0
"profissão: metalúrgico. fortuna: u$ 2 bilhões segundo a revista forbes, 2006. agora eu pergunto a você que vota no pt: você conhece algum trabalhador honesto que tenha tamanha fortuna",0
"engraçado, depois que foi descoberto que o assassino de marielle era do pt, finalmente ela morreu ninguém fala mais nada",0
"bolsonaro e seus motivos para comemorar a ditadura militar:valas comuns utilizadas durantes ditaduras militares...em são paulo, arqueólogos escavaram a vala de perus que foi utilizada para descartar corpos durante a ditadura militar, foram mais de 1.000 ossadas encontradas. se vc acha que há razões para comemorar essa data, procure um psicólogo!",0
procurador-geral dos eua rompe o silêncio e diz que lava-jato foi criada para atender os interesses dos estados unidos.,0
"o exército brasileiro conseguiu, ontem, encontrar água ao perfurar um poço em caicó, no nordeste. a água jorrou com força e foi encontrada em um terreno onde atualmente funciona um complexo de creches cujo abastecimento hídrico é feito por caminhão pipa.",0
querem conhecer uma das adegas do nosso ex presidente lula que tirou milhões da pobreza,0
rodrigo maia não nasceu no brasil e não pode ser o presidente da câmara.,0
moro afasta promotor que investigava flávio bolsonaro e agora afasta delegado que investigou assassinos de marielle. entendeu,0
"só para não cair no esquecimento: esses almoçando juntos são flávio bolsonaro, queiroz e o assassino de marielle.",0
mariele com um de seus assassinos.,0
"vai vendo!!! times square agora há pouco!!! a esquerda toda se coçando de raiva!!! hehehe!!! vai nessa, capitão!!!",0
"dilma rousseff: a lua é muito mais importante do que o sol, porque ela aparece à noite, quando está tudo escuro. já o sol, aparece de dia quando já está tudo claro, ou seja, não tem utilidade nenhuma.famosa micheque me larga essa pérola: a lua é muito mais importante do que o sol, porque ela vem à noite, quando está escuro. já o sol aparece de dia, quando já está tudo claro, ou seja, não tem utilidade nenhuma.",0
acidente com o 737 max 8 da boeing na etiópia. que loucura,0
dilma e lula nunca se hospedaram nesse palácio [blair house]. ambos ficavam em hotéis 5 estrelas e torravam milhões e milhões do dinheiro público.,0
padre fábio de melo: melhor texto que já li sobre o acontecimento de ontem. cansado e perplexo com tantas baboseiras e falsas justificativas pras atrocidades que ainda nos surpreendem todos os dias ...,0
luiz henrique de castro autor da chacina de suzano [vestindo uma camiseta de bolsonaro],0
esse é o assassino da marielle! que linda camisa! isso a mídia nojenta não mostra. imagine se fosse uma camiseta do bolsonaro!!! estaria em todos os jornais.,0
"agora fedeu de vez pro jair!!! acredite se puder, ou melhor, não acredite, confira: a cada onde mora o matador de marielle e anderson pertence ao presidente bolsonaro. está na declaração de bens dele ao tse.",0
"discurso de barack obama:  graças aos soldados, e não aos sacerdotes, que podemos ter a religião que desejamos ....",0
"sabem quem é este de óculos de sol que aparentemente faz a segurança de bolsonaro se chama ronnie lessa, o mesmo que apertou o gatilho contra a marielle.",0
"bolsonaro: se autoproclamar presidente é fácil, quero ver governar. boa noite a todos! juan guaidó: un jefe de estado no ejerce la democracia por el twitter.",0
jornalista do estadão: a intenção é arruinar flávio bolsonaro e o governo,0
"morreu nesta segunda 4, o personagem que fez o papel do diabo vencendo jesus em um desfile da escola de samba gaviões da fiel. segundo informações, o homem morreu em um acidente automobilístico na grande s. paulo.",0
ex-ministro gustavo bebianno diz que facada foi articulação do próprio bolsonaro.,0
"s.s.o  tapa na cara da nao. ..!!!desabafo ... !!!vejam o que o cantor lulu santos escreveu hoje no jornal diário de são paulo.acordem povo brasileiro.estamos sendo ridicularizados no mundo inteiro. somos todos um bando de bobos, imbecis.cantor de mpb em carta publicada no jornal diário de são paulo.hoje, vendo pessoas morrendo em filas de hospitais, bandidos matando por r$ 10,00 e pessoas andando feito zumbis nas ruas por causa das drogas, adolescentes que não sabem quanto é 6 x 8, meninas de 14 anos parindo filhos sem pais, toda a classe política desse país esfregando a bandalheira na nossa cara e desfilando uma incompetência absurda, o nosso país sendo ridicularizado por tantos escândalos...eu peço perdão ao brasil pela porcaria que fiz...deveria ter ficado em casa quieto ao invés de ir às ruas. lutei pra que pra ver corrupto no poder fazendo manobras pra se manter no poder e por quê agora estamos quietos cade você nas ruas esqueçam cor de bandeiras. vamos nos unir e lutar por um só motivo: nossos direitos.somos mais de trinta milhões de aposentados!não podemos admitir:policial r$ 3.660,00 para arriscar a vida;bombeiro r$ 3.960,00 para salvar vidas;professor r$ 2.200,00 para preparar para a vida;médico r$ 9.260,00 para manter a vida;e o deputado federal r$ 26.700,00 salário r$ 94.300,00 verba de gabineter$ 53.400,00 auxílio paletór$ 5.000,00 combustível r$ 22.000,00 auxílio moradia r$ 59.000,00 passagens aéreas r$ 17.997,00 auxílio saúde r$ 12.100,00 auxílio educação r$ 16.400,00 auxílio restaurante r$ 13.400,00 auxílio cultural auxílio dentistaauxílio farmácia e outros, para lascar as nossas vidas!e o trabalhador r$ 954,00 para sustentar a família.será que o problema do brasil são os trabalhadores os aposentados vamos impor a eles que façam uma reforma profunda na política nacional.publique!!!se você repassar para somente 2 amigos nas primeiras horas, em 28 horas toda a população brasileira vai tomar conhecimento deste absurdo.",0
"você sabia que vereadores, deputados, governadores, senadores não pagam imposto de renda! nem contribuem com a previdência!",0
urgente isto foi agora pouco!!! brasil posiciona tanques de guerra na fronteira com a venezuela!!!,0
"acabou de ser anunciado no programa a voz do brasil que, quem trabalhou entre 1995 a 2018 com carteira assinada tem direito a um abono de 1.023.00 reais, quem não sacar até 12032019 perde este abono com a nova reforma da previdência, confira se você tem direito ao saque",0
"ministra damares cancela pagamento de 2.000 anistiados, entre eles fhc, lula, chico buarque, gilberto gil. a farra acabou!",0
"adivinha quem é a mãe dessa pobre moça drogada e perdida pasmem, mas essa moça é filha da deputada maria do rosário, a defensora de bandidos que, segundo ela, são pobres vítimas da sociedade. pois foram essas pobres vítimas da sociedade que transformaram a filha dela nesse zumbi, vendendo para a guria muitas drogas e bebidas.",0
paulo preto com 100 milhões mocozado. colocava até para secar. e o coaf não viu nada,0
"person of the year time: jair bolsonaro, president of the federative republic of brazil",0
"alexandre garcia: a questão-chave é a seguinte: jair bolsonaro cortou as verbas publicitárias e a mídia está agonizando como um moribundo em seus últimos dias de vida. e para piorar ainda mais, os grandes grupos de comunicação perderam seu principal informante bibiano.",0
"olha aí, petralhas. dilma quer que mulheres se aposentem com 85 anos e homens com 95",0
"que bonito, ein, pt quando foi que essa senhora [aleida march] trabalhou no brasil a profissão dela era ser amiguinha do lula",0
"dinheiro da milícia do rio de janeiro ligado ao flávio bolsonaro, vulgo flávinho do psl, já denunciado pelo ministério público, tinha enterrado no quintal da casa de um miliciano em são gonçalo - rj vários sacos plásticos com dinheiro , a quantia chega a r$ 1.545.939,85. mais uma vez parabéns aos eleitores do bozzo!",0
"antes de sua morte, o jornalista ricardo boechat zombou e brincou com deus e desqualificou o livro do apocalipse sobre a segunda vinda de jesus, acompanhe o vídeo. com deus não se brinca.",0
dilma rousseff: me senti pertinha do elvis!!!,0
isso é uma pedalada feita na previdência social. retira mais de r$ 600 bilhões do inss e transfere para outras pastas. pastas que não são são mencionadas no decreto.,0
" uma favela no, é a usp universidade de são paulo, onde estava aquartelada a esquerda democrática que insistia em consertar o país. se não respeitam o patrimônio pblico, como irão consertar o brasil",0
"podem conferir no google. bolsa ditadura: você sabia que 20 mil anistiados, entre eles, chico buarque, gilberto gil, caetano veloso, marieta severo, taiguara, lula, zé dirceu, fhc, recebem o bolsa ditadura mensalmente e são isentos de pagar imposto de renda tudo pago por nós, otários!",0
"bolsonaro: não sei porque tanto mi mi mi [sobre a morte de marielle] foi apenas mais uma mulher negra que tombou!  a vida, amigo!",0
"urgentssimo: china manda recado aos eua e ao mundo, preparem-se para tudo, iremos entrar em uma terceira guerra mundial",0
jean wyllys se aposenta com salário integral após oito anos.,0
"paulo guedes: concordo com bolsonaro que filho de pobre tem tara por fazer faculdade. se não tem dinheiro para pagar, não venha dar despesa para o governo! faça outra coisa da vida!",0
"urgente: oab não cobra punição dos responsáveis pela tragédia em brumadinho, mas ameaça expulsar quem advogar de graça para as vítimas do desastre.",0
urgente! morre bombeiro que resgatou 4 sobreviventes em brumadinho-mg,0
"marina silva, ministra do governo dilma do pt, na época, deu autorização para o funcionamento das barragens.  mais uma responsáveis pelas mortes e perdas em mariana e brumadinho.então você foi ministra do meio ambiente quando construíram a barragem de brumadinho e agora que ela estourou a culpa é do bolsonaro.",0
olha o dono da pousada de brumadinho,0
a justia no brasil é uma vergonha. olha o que a juíza posta na sua página.,0
"o amigo do meio está foragido, procurado pelo assassinato da marielle",0
pra calar a boca de jornalistas de merda. foram os equipamentos israelenses que tiraram da lama a crianca com vida. e o choro de um soldado israelense no comove essa raa que se instalou e gangrenou o nosso pas!,0
fora globo em brumadinho,0
porque as mídias de esquerda não comentam que a mãe e a irmã de adélio trabalhavam no gabinete de maria do rosário,0
sabia que o processo da vale pelo crime ambiental de mariana estacionou há 3 anos no trf4 e o de lula foi julgado a toque de caixa,0
"não serão punidos, infelizmente, graças ao decreto assinado em 2015 por dilma rousseff que considera rompimento de barragens, desastres naturais.",0
"pedi com os olhos cheios de lágrimas para o ministro da agricultura o envio de veterinários para cuidar dos animais que estavam sendo esquecidos, ele disponibilizou cerca de 100 médicos veterinários que já estão em brumadinho dando auxílio ...",0
"uma fonte ligada a abin confirmaram nessa tarde que a polícia rodoviária federal deteve nessa tarde, próxima a cidade de itaguará, cerca de 68 km de brumadinho, um venezuelano e um cubano. ...",0
rompimento da barragem lá em brumadinho,0
"parece que os novos deputados que assumem no dia 1 de fevereiro perdem a imunidade parlamentar .... esse cara [adélio bispo] frequentava o gabinete do deputado federal jean wyllys lá em brasília ....o rodrigo maia escondeu a informação de quem fez a inscrição, quem fez a entrada.",0
"existem rumores de que a renúncia ao mandato do deputado federal jean wyllys nada tem a ver com as falsas ameaças de morte que o deputado anunciou em entrevista. a verdade é que: as investigações da pf encontraram provas robustas de desvios que ultrapassam mais de 100 milhões em projetos sociais, entre outras irregularidades onde o deputado está envolvido ativamente, algo que poderá incriminá-lo. são desvios de verbas públicas destinadas à movimentos sociais e recebimentos irregulares nos quais envolveu, mst, cut, une, estes movimentos estão no esquema que é um escândalo desde 2006!!!",0
"lula dá vexame na suíça, fica bêbado, se mija todo e os assessores tiveram que o levar discretamente embora para o hotel. ministra [dilma] fica profundamente envergonhada.",0
"eleitores de bolsonaro, se flávio bolsonaro cair quem assume a vaga é lindbergh farias. entenderam porque a tramoia sobre ele",0
"jair bolsonaro: [em] 2009 [tinha na] conta bancária 5 mil, 1 casa, 2 carros, 1 mobilete, 2 bicicletas e 6 varas de pescar. [em] 2019 [tinha na] conta bancária 18 milhões, 8 casas, 9 carros, moto aquática, 12 apartamentos e investimentos milionários.",0
quem lembra promotores do mprj se reúnem em defesa de dilma contra o golpe. são os mesmos que acusam flávio.,0
"o pt criou 9 vice presidências com salários de r$ 61,5 mil. 27 diretorias com salários de r$ 47,7 mil. 11 cargos de gerente geral com salários de r$ 47,7 mil. cada gerente geral e diretor indicam 4 gerentes executivos com salários de r$ 36,3 mil. cada gerente executivo indica 4 gerentes de soluções com salários de r$ 24 mil. todos de livre nomeação, sem concurso público, para abrigar seus competentes militantes.",0
a moral da gleisi na frança está excelente,0
"governos anteriores gastaram milhões em bloqueadores de sinal de celular [em presídios], e não resolveram o problema. aí vem sergio moro e simplesmente tira as tomadas, problema resolvido.",0
gleisi hoffman: vamos mostrar quem luta pela paz! coloque uma faixa bem grande na sua casa com os dizeres: residência livre de armas,0
"o dr. gupta diz que ninguém deve morrer de câncer, exceto sem atenção.",0
"afrontando o governo federal , o governador da bahia rui costa pt se autodeclara novo presidente da república do nordeste do brasil",0
"ernesto araújo: não é hora de combater a fome, a miséria, muito menos o analfabetismo.  hora de combater o pt e o comunismo. vamos juntos!",0
governo bolsonaro em 7 dias de governo tira meio milhão de pessoas da pobreza: medo da auditoria causa debandada de beneficiários do bolsa família,0
"o que mais impressiona, no entanto, é que antes dele ocupar este cargo, quem ocupava era um petista indicado - dizem -, desqualificado, e que ganhava não 37, mas 100 mil reais! como não ficamos sabendo disso ainda bem que, após duas décadas de silêncio, a mídia começou a trabalhar.",0
"60 chefes do crime organizado do ceará, levados para a prisão federal. aos poucos o super ministro da justiça mostra sua força.",0
promotor manda prender lutadora de ufc que reagiu a assalto e espancou criminoso no rio de janeiro,0
"urgente! ministro paulo guedes acaba de anunciar o fim do bolsa-bandido, o auxílio reclusão!!",0
"parabéns a oab, que para intensificar a sua fiscalização ao governo bolsonaro irá permitir ao deputado tulho gadeia, namorado de fatima bernandes, a sua inscrição sem a necessidade de realização da prova no exame da ordem, dada sua agenda, deputado tem dificuldade na aprovação.",0
"nem olinda, nem salvador, nem rio de janeiro presidente jair bolsonaro assina decreto cortando verba do carnaval e parada gay em todo o brasil. o decreto já cancela o carnaval de 2019.",0
a esposa do mourão foi muito criticada pelo vestido dela! segue o currículo dela!,0
"por falta de público, posse simbólica de lula é cancelada em curitiba",0
ateno: os jornalistas no esto sofrendo restrição no trabalho!,0
"o pt entrou com uma liminar, pedindo a anulação do projeto do bolsonaro com israel para acabar com a seca do nordeste, a seca no nordeste é cultural, quase um patrimônio, e não deve ser destruída, disse gleisi hoffmann.",0
"numa rara fotografia, a imagem do herói de guerra cubano che guevara em batalha, lutando ferozmente contra um inimnigo muito superior e armado até os dentes. ele saiu vitorioso. só para lembrar que foi na revolução comunista que implantou a democracia em cuba, que se tornou um dos países mais prósperos e adiantados do mundo.",0
#boombaa! bolsonaro descobre ke casamento de preta gil foi pago com a lei rouanet! pasmem 2 milhes e 200 mil!,0
"joão de deus tem 20 anos de filiação ao pt, por isso as feministas estão caladas, santa hipocrisiao charlatão estuprador joão de deus gastou 10 milhões na campanha de seu amigo bolsonaro. em troca de que",0
"o pt foi tão bom para o trabalhador, mas tão bom, que o salário mínimo é menor que o auxílio reclusão. no governo do pt, o ladrão ganha mais do que o trabalhador.",0
"contra fotos ops fatos, não há argumentos juiz marco aurélio e seu amigo fidel.",0
mayra dias grita lula livre durante miss universo e é desclassificada.,0
"sr. cesare batista recebe mensalmente uma pensão de perseguido político concedido pela comissão da verdade, ou seja ele por ser militante de 70 na itália recebeu uma pensão no brasil.  para acabar ! r$ 31.845,00.",0
petista atira e mata cristãos! isto a imprensa comunista não fala!!!,0
,0
"lewandowski: uma vez comunista, sempre comunista",0
príncipe harry fez questão de conhecer fernando haddad e enviou uma carta ao presidente lula,0
marisa letícia foi empregada doméstica e dona de casa. deixou herança de r$ 11 milhões.,0
jovem brasileira camila ferraz participou da olimpíada de matemática da universidade de yale representando o colégio militar de brasília e tirou medalha de ouro.,0
"petistas disseram que jair messias bolsonaro prestar continência ao sr. john bolton, da agência nacional de segurança dos eeuu era subserviência aos americanos. ajoelhar e fazer um boquete para hugo chávez seria o que então",0
"polícia federal.porto de santos. 60 baús de medicamentos cheios de bilhões de dolares.nosso dinheiro do mais médicos que vai para cuba e agora volta para financiar guerrilha armada do pt. mais de vinte petistas preso em flagrante. repassem. repassem para o brasil inteiro saber o que eles fizeram com o nosso brasil, e o destino da maldade que seria usado esse dinheiro! disfarçados de etiquetas de medicamentos. cheios de dólares para espanto dos policiais.",0
,0
"você sabia que 2% de toda arrecadação do veículo do mercosul será destinado para a entidade internacional do mercosul a renac, você sabe o que é a renac   renac é reconstrucción nacional de cuba.",0
comissão de direitos humanos manda prender jovem que agrediu assaltante em mg,0
"todo produto encaixado leite, creme de leite, leite condensado, achocolatado, etc. tem uma dessas imagens abaixo que fica no fundo da caixa. a que tem uma barrinha colorida é produto que já venceu, voltou para o fabricante e colocaram mais produtos para reaproveitar voltou para o mercado. a que não tem, é produto novo, que ainda não venceu e está ótimo para consumo.",0
nota antigas de us$ 100 serão recolhidas,0
bolsonaro se aposentou do exército com atestado de insanidade mental,0
"segundo o embaixador da china no brasil, li jinzhang, quem invadiu área de pesca chinesa foi o barco brasileiro oceano pesca i; mesmo estando na costa do brasil, já que no governo dilma foi assinado um tratado onde o brasil cedeu por 25 anos parte da costa brasileira para pesca chinesa incluindo com exclusividade a pesca do atum. entenderam povo gado ou preciso desenhar",0
termo black friday tem origem na escravidão,0
o pt apareceu em segundo lugar na lista de 10 maiores organizações criminosas no mundo pelo desvio de dinheiro público na ordem de r$ 42 bilhões,0
,0
"o programa mais médicos, além de privilegiar os cubanos, dificulta o ingresso de médicos brasileiros, vocês sabiam",0
raciocinem! existem apenas duas universidades de medicina em cuba. la habana: forma em média 200 médicos por ano; elam - escuela latinoamericana de medicina: forma em média 100 alunos por ano.,0
